material,temperature_c,pressure_bar,ph,sulfur_ppm,flow_velocity_ms,service_years,corrosion_rate_mmpy
Alloy Steel,172.0,54.9,5.32,659,2.79,12,1.12
SS304,236.4,33.3,5.36,357,4.38,14,1.01
Carbon Steel,154.4,39.2,6.51,244,3.87,1,0.8
Inconel,232.4,41.9,4.38,457,1.54,11,0.93
Carbon Steel,243.5,35.9,4.98,513,2.77,8,1.3
SS316,228.0,47.8,5.5,629,1.62,5,0.87
Inconel,142.1,51.7,5.17,213,1.54,14,0.56
Inconel,164.6,52.5,4.84,246,3.94,6,0.72
Alloy Steel,254.6,51.6,5.63,667,1.52,7,1.13
Carbon Steel,260.5,53.1,6.24,491,2.8,3,1.1
Alloy Steel,165.3,38.7,5.52,162,1.6,1,0.73
SS304,226.1,45.7,6.07,434,2.17,6,0.77
Inconel,154.5,38.9,5.88,107,2.5,4,0.41
Alloy Steel,196.7,26.1,4.33,270,3.39,5,1.12
SS304,233.0,40.2,6.35,601,3.99,12,0.93
Carbon Steel,161.7,27.3,5.87,589,3.76,5,1.08
Carbon Steel,247.9,40.5,5.21,455,3.05,8,1.26
SS316,170.0,33.7,6.74,692,3.88,1,0.68
SS304,232.4,32.8,5.91,186,2.69,6,0.72
SS304,186.7,50.6,4.59,667,3.02,6,1.06
Alloy Steel,276.0,52.3,5.38,567,1.96,8,1.19
Inconel,262.8,25.9,6.73,503,2.76,14,0.72
Inconel,154.3,52.0,4.94,255,4.26,13,0.75
SS316,184.1,34.5,4.22,105,2.49,4,0.79
SS316,216.6,45.1,5.48,518,1.6,2,0.78
SS316,213.0,36.1,4.52,331,2.54,5,0.9
SS304,259.9,36.3,6.05,587,2.14,5,0.89
Carbon Steel,166.8,41.5,6.66,144,1.63,5,0.69
Carbon Steel,266.8,32.7,6.19,526,1.98,12,1.16
Alloy Steel,182.0,43.8,5.98,174,4.33,6,0.86
Inconel,276.2,26.5,4.3,636,4.19,13,1.22
Inconel,195.5,42.7,4.87,513,2.43,10,0.84
Alloy Steel,277.5,48.9,6.22,305,3.48,9,1.03
SS304,168.5,47.9,4.83,524,3.24,1,0.9
Carbon Steel,276.6,35.8,5.08,187,4.07,7,1.26
SS316,273.9,25.7,5.6,230,3.17,7,0.85
Carbon Steel,220.6,41.5,6.7,431,4.04,7,1.02
Alloy Steel,176.8,27.5,6.74,523,1.54,9,0.78
Carbon Steel,221.2,44.1,5.11,289,3.33,5,1.15
SS316,141.7,51.6,4.56,498,3.83,5,0.9
Inconel,174.4,44.6,4.36,362,4.24,5,0.86
Alloy Steel,271.5,43.1,4.87,601,1.99,1,1.23
SS304,261.8,39.0,5.93,502,2.08,5,0.87
Carbon Steel,144.4,28.5,6.22,553,3.31,7,0.98
Carbon Steel,207.0,44.1,5.99,135,2.76,10,0.94
SS304,227.7,53.9,5.37,436,3.25,10,0.95
SS304,214.9,52.4,4.24,485,1.72,9,1.04
SS316,221.4,30.4,4.94,470,1.91,7,0.9
Carbon Steel,197.6,32.0,5.54,578,4.0,10,1.23
Alloy Steel,178.7,36.9,4.91,205,2.66,6,0.95
Carbon Steel,177.3,35.1,5.06,388,4.03,2,1.14
SS316,226.1,29.9,4.25,569,1.74,3,1.02
Alloy Steel,220.5,43.1,5.99,336,3.82,11,1.0
Alloy Steel,209.7,35.0,5.84,126,1.6,12,0.82
Alloy Steel,171.3,41.1,5.66,520,4.49,6,1.04
SS316,199.2,42.6,4.76,329,3.25,5,0.87
Carbon Steel,185.5,38.7,4.76,619,3.26,9,1.31
Inconel,166.6,29.6,5.1,347,4.3,14,0.8
Alloy Steel,146.9,46.1,5.27,284,1.96,10,0.87
SS304,148.9,33.7,5.0,196,3.02,3,0.71
SS316,277.5,50.9,6.21,264,4.42,11,0.86
Alloy Steel,218.6,49.3,4.69,623,3.77,7,1.29
SS316,147.9,44.9,4.83,171,2.73,13,0.73
SS304,169.9,27.7,6.02,533,2.02,8,0.72
Alloy Steel,197.2,42.5,6.04,585,3.33,14,1.06
Carbon Steel,191.1,31.3,6.7,373,3.21,8,0.91
SS316,175.4,49.3,4.27,514,3.28,13,1.04
Alloy Steel,158.2,28.3,5.88,362,1.78,7,0.8
Alloy Steel,247.3,51.5,6.33,379,3.1,2,0.93
SS316,182.7,37.0,6.37,334,1.53,7,0.54
SS304,261.0,52.8,5.05,234,2.89,10,0.95
SS316,263.8,35.1,5.7,456,3.04,10,0.92
Inconel,152.9,35.8,4.91,406,4.44,14,0.83
Carbon Steel,270.6,39.6,5.84,485,3.01,11,1.24
SS304,152.3,46.4,6.73,422,3.0,14,0.62
Carbon Steel,216.8,27.7,5.12,130,2.93,6,1.07
Carbon Steel,223.3,31.2,4.74,265,3.64,5,1.22
SS316,225.5,48.7,6.22,567,2.58,3,0.76
Inconel,141.8,34.4,5.08,199,2.51,13,0.61
Alloy Steel,253.0,33.3,5.06,348,2.8,7,1.13
Inconel,185.3,33.6,4.54,551,1.64,13,0.88
SS304,252.0,28.6,4.52,668,3.96,14,1.28
Inconel,262.5,54.7,5.79,467,3.76,8,0.85
Carbon Steel,247.3,31.2,5.5,676,2.53,14,1.33
Alloy Steel,190.2,54.0,6.01,418,4.41,9,0.99
Inconel,239.2,53.7,5.82,213,2.24,13,0.66
Alloy Steel,210.1,44.8,5.98,113,1.66,8,0.77
Inconel,250.9,35.0,5.1,371,4.21,14,0.95
Alloy Steel,256.1,54.9,6.38,434,2.08,12,0.98
Inconel,174.7,47.4,5.77,439,1.95,5,0.59
SS304,196.9,26.9,6.47,434,2.49,2,0.64
Alloy Steel,212.5,34.7,6.51,502,4.5,10,1.0
SS316,234.4,33.8,5.57,604,1.7,9,0.89
Carbon Steel,179.7,52.5,5.4,488,2.29,14,1.13
Alloy Steel,269.3,30.1,6.15,150,3.2,5,0.92
Carbon Steel,240.5,33.4,5.69,107,2.93,3,0.99
Inconel,244.1,26.3,6.36,602,4.0,4,0.77
Inconel,143.1,44.1,5.0,359,4.12,13,0.76
Inconel,242.3,27.8,5.57,274,4.42,3,0.76
Inconel,274.5,51.8,4.53,286,2.23,1,0.87
Inconel,242.6,47.1,4.25,316,1.56,4,0.86
SS304,169.5,47.3,4.58,233,2.77,5,0.82
Carbon Steel,225.0,29.8,6.22,279,2.13,9,0.96
Alloy Steel,156.1,51.1,5.76,609,4.1,3,1.0
SS304,268.5,42.6,6.05,349,4.24,10,0.93
SS304,206.6,27.1,6.02,411,2.99,14,0.82
SS304,172.4,36.0,5.52,239,2.68,2,0.67
SS304,242.0,28.1,6.36,509,1.6,11,0.79
SS304,170.8,40.2,4.38,654,2.38,5,1.02
Carbon Steel,247.3,42.3,4.88,647,1.55,11,1.35
Alloy Steel,169.8,47.4,5.1,548,4.22,8,1.14
Carbon Steel,275.1,41.6,5.52,290,2.27,10,1.18
Alloy Steel,220.3,30.4,6.78,183,3.18,1,0.72
SS304,265.2,53.1,5.81,131,3.72,14,0.87
SS304,233.8,48.4,6.09,671,3.71,4,0.93
Inconel,199.9,51.7,4.25,348,2.3,8,0.85
SS316,158.2,49.8,4.21,599,2.29,4,0.95
SS316,236.8,45.0,5.15,135,3.99,4,0.82
Carbon Steel,160.1,51.5,4.48,157,4.32,8,1.15
Carbon Steel,260.8,25.9,6.74,219,1.83,11,0.92
Alloy Steel,227.4,41.4,4.74,485,3.35,10,1.24
Inconel,195.2,29.8,4.66,651,1.83,5,0.87
Alloy Steel,189.9,40.1,5.72,693,3.26,2,1.06
Inconel,208.4,50.8,4.51,645,4.04,3,1.0
SS316,186.9,40.2,6.23,258,2.61,5,0.57
SS316,247.8,54.1,6.79,244,4.2,13,0.71
Inconel,259.3,36.4,6.14,205,2.77,8,0.64
Alloy Steel,159.4,43.5,5.78,228,2.92,7,0.81
Carbon Steel,182.0,46.3,4.47,368,4.33,7,1.27
Inconel,200.8,47.1,6.23,561,4.49,9,0.76
Inconel,227.6,30.5,5.66,179,1.55,12,0.61
Inconel,170.9,48.7,4.68,589,3.34,8,0.89
Alloy Steel,225.3,41.6,5.9,637,4.05,8,1.14
Carbon Steel,276.7,48.2,6.69,620,3.68,9,1.2
Alloy Steel,193.9,41.9,6.6,547,2.67,9,0.89
SS304,195.7,46.0,6.58,152,4.08,13,0.65
SS304,169.2,25.4,6.53,647,1.68,7,0.67
Inconel,153.4,30.8,6.4,442,3.4,14,0.58
Inconel,256.4,45.2,4.22,476,3.93,8,1.09
Inconel,242.4,47.0,4.47,262,1.7,10,0.85
Carbon Steel,165.0,43.7,4.69,225,3.51,1,1.07
Carbon Steel,209.6,31.6,6.76,608,1.58,4,0.94
Inconel,223.5,38.3,5.44,473,3.25,4,0.79
Carbon Steel,246.2,27.6,5.47,105,4.41,7,1.13
SS316,162.2,35.3,4.62,559,1.68,1,0.83
Inconel,266.8,52.9,4.68,605,3.11,12,1.08
SS316,224.6,45.1,5.64,310,4.17,4,0.81
Alloy Steel,154.6,33.0,5.59,599,2.34,14,1.01
SS316,232.5,25.4,4.67,305,2.2,4,0.88
Alloy Steel,156.2,46.9,4.66,698,3.97,12,1.26
Alloy Steel,199.7,32.8,6.19,328,3.77,14,0.95
Inconel,260.5,26.6,6.75,647,2.59,9,0.73
Inconel,260.4,47.8,4.76,390,2.86,3,0.89
Alloy Steel,249.0,36.8,6.4,128,3.85,8,0.88
Carbon Steel,180.1,39.8,5.37,412,3.13,8,1.11
SS304,204.3,45.4,5.77,690,2.37,8,0.9
SS316,267.3,46.2,4.32,603,4.47,4,1.22
Alloy Steel,226.7,26.5,4.89,531,3.21,6,1.2
SS304,172.2,28.1,4.27,275,2.69,5,0.89
Inconel,259.9,37.3,4.26,481,3.72,7,1.07
Inconel,176.5,26.4,5.65,550,2.09,2,0.64
Alloy Steel,165.2,31.0,6.6,243,2.43,7,0.68
Carbon Steel,273.7,36.8,5.57,313,3.29,8,1.21
Alloy Steel,206.6,45.7,4.71,688,3.44,1,1.24
SS316,278.0,46.2,5.37,107,3.06,5,0.82
SS304,244.7,49.2,4.86,423,3.09,10,1.04
Carbon Steel,279.5,53.4,6.1,434,3.27,4,1.16
Alloy Steel,261.9,33.7,6.3,168,3.8,14,0.98
SS316,257.0,52.1,5.6,118,4.28,5,0.8
SS316,198.0,43.0,5.32,379,4.16,9,0.87
Carbon Steel,154.5,25.1,5.02,188,2.16,12,1.0
SS316,240.6,36.1,5.78,488,2.71,12,0.88
SS316,153.6,42.9,6.8,666,1.51,14,0.61
SS316,258.6,48.6,5.01,382,2.2,7,0.93
SS316,232.6,47.5,4.84,293,2.43,2,0.85
Alloy Steel,182.1,42.1,5.81,142,3.49,4,0.82
Carbon Steel,255.9,31.7,4.71,576,3.61,11,1.45
SS304,248.5,50.6,5.29,500,1.68,4,0.92
SS304,146.3,25.9,5.79,282,3.73,14,0.72
SS316,194.4,44.2,4.92,208,1.57,8,0.73
Alloy Steel,225.3,40.5,6.61,412,4.47,14,1.0
SS316,199.8,35.9,5.26,255,3.6,4,0.77
SS316,205.6,27.9,5.42,148,3.55,1,0.69
Alloy Steel,199.5,54.8,6.13,565,1.58,11,0.94
Inconel,227.8,29.4,5.33,492,3.6,7,0.85
Carbon Steel,166.1,40.4,4.29,409,3.28,8,1.25
SS304,232.4,47.0,4.39,124,1.81,9,0.9
Alloy Steel,258.0,40.2,5.4,243,2.84,11,1.07
SS304,231.4,34.6,4.83,305,3.89,5,0.98
Alloy Steel,220.3,32.3,5.35,334,1.64,1,0.93
Alloy Steel,242.4,52.8,6.15,365,1.95,13,0.96
Inconel,272.0,28.0,6.66,577,3.83,2,0.75
SS316,266.4,39.5,4.93,529,4.16,3,1.08
Carbon Steel,267.9,39.3,6.59,300,2.18,8,0.99
Inconel,244.5,50.4,4.48,589,3.81,14,1.11
SS304,236.6,25.0,6.62,430,3.36,9,0.77
Carbon Steel,193.1,26.8,5.29,501,3.28,1,1.14
SS316,236.3,43.9,4.65,197,3.14,2,0.87
Inconel,200.0,32.2,5.84,584,4.4,12,0.84
Alloy Steel,228.6,43.9,4.57,123,3.6,13,1.14
SS304,275.8,54.6,5.87,632,2.1,5,0.96
Inconel,177.3,38.2,6.39,656,2.96,14,0.69
Inconel,224.5,33.8,6.59,649,2.68,8,0.69
Carbon Steel,221.5,53.4,6.51,561,2.33,12,1.06
SS304,173.0,38.7,5.98,545,3.84,6,0.81
SS304,203.6,52.0,4.43,569,4.01,5,1.11
SS304,206.4,44.3,6.56,439,3.9,11,0.77
Carbon Steel,186.5,25.9,5.33,493,3.57,2,1.14
SS304,251.6,38.1,6.7,263,3.73,7,0.72
Carbon Steel,246.6,42.2,6.02,350,2.34,3,1.03
Alloy Steel,214.0,48.9,6.72,133,3.28,5,0.73
Carbon Steel,206.4,41.7,6.79,670,2.32,1,0.97
SS316,194.7,27.1,5.7,686,4.42,5,0.93
SS304,241.9,29.3,4.62,197,4.17,9,1.02
SS316,171.9,47.8,4.88,304,2.07,6,0.75
SS316,169.4,33.5,6.59,356,3.26,6,0.56
Alloy Steel,205.1,36.0,4.53,200,4.26,5,1.12
Inconel,250.5,50.6,6.59,196,2.41,14,0.57
Alloy Steel,221.1,53.2,6.07,137,2.64,5,0.81
Carbon Steel,202.5,50.4,5.08,635,3.35,10,1.31
Carbon Steel,154.6,35.5,4.62,297,3.96,1,1.11
SS304,206.3,52.6,6.8,250,4.31,6,0.64
SS316,260.7,42.9,5.74,466,3.66,4,0.9
Alloy Steel,172.9,41.8,5.2,375,1.96,14,0.99
Inconel,192.5,26.9,5.56,491,2.01,5,0.67
Alloy Steel,270.2,38.3,6.29,656,4.42,1,1.14
SS304,209.3,29.0,6.32,451,3.82,6,0.78
Alloy Steel,273.6,48.3,6.2,148,2.2,4,0.87
Inconel,201.1,38.3,4.91,179,4.33,14,0.81
Inconel,192.6,35.5,5.0,226,2.02,7,0.66
SS316,141.4,46.7,6.06,350,1.88,7,0.53
SS316,276.0,35.5,4.96,460,3.83,4,1.05
SS304,226.4,44.4,6.57,346,3.11,8,0.71
SS316,194.9,46.7,5.69,392,3.59,14,0.83
Carbon Steel,227.4,30.2,4.5,322,2.42,3,1.22
SS316,171.8,37.3,4.6,421,2.42,13,0.9
Carbon Steel,140.6,30.9,5.49,523,2.96,5,1.04
Alloy Steel,270.2,34.9,6.25,634,2.54,1,1.06
Carbon Steel,243.8,51.3,5.16,344,2.8,10,1.22
SS304,251.1,38.1,4.66,147,2.67,10,0.95
Inconel,172.2,44.8,4.5,332,3.38,14,0.85
SS304,261.6,43.3,4.25,411,3.79,9,1.18
SS304,149.0,36.7,4.92,446,3.07,5,0.84
SS304,182.4,48.4,5.04,358,2.94,1,0.81
SS304,148.2,47.2,6.09,668,2.26,1,0.69
SS316,180.5,36.0,5.37,590,1.54,12,0.83
Alloy Steel,191.1,40.8,4.51,350,2.58,14,1.14
Inconel,240.2,47.8,4.63,200,2.11,9,0.8
Carbon Steel,251.1,30.3,6.33,265,4.27,14,1.12
Carbon Steel,187.0,52.3,6.06,390,3.41,13,1.05
Alloy Steel,144.0,53.2,4.31,468,3.58,8,1.14
SS304,152.9,40.6,4.33,273,2.84,5,0.85
SS304,258.9,42.6,4.62,109,3.6,9,0.99
Inconel,231.1,49.4,5.33,174,4.32,11,0.78
Carbon Steel,263.7,46.5,5.15,575,2.45,1,1.28
SS304,279.6,45.4,5.26,435,2.75,3,0.99
SS316,183.7,50.7,5.68,587,2.96,12,0.85
Inconel,259.7,36.6,4.5,605,2.99,9,1.07
SS316,236.3,47.1,5.05,520,3.44,1,0.96
SS316,258.6,33.4,6.26,393,3.69,4,0.79
Alloy Steel,227.5,32.2,6.29,336,2.88,5,0.89
Alloy Steel,246.7,31.9,6.71,473,1.52,4,0.85
SS316,241.1,38.0,5.9,222,2.91,1,0.69
Alloy Steel,167.3,44.1,5.7,439,3.35,4,0.93
SS316,244.1,50.0,4.24,297,2.77,10,1.03
SS304,247.9,54.4,6.67,639,1.98,2,0.77
Alloy Steel,145.8,36.7,5.88,269,3.28,12,0.84
SS316,176.5,25.7,4.57,364,2.35,5,0.83
Inconel,154.9,52.5,6.53,645,3.72,8,0.62
Inconel,149.6,36.4,5.37,459,3.08,9,0.69
Alloy Steel,249.1,52.6,6.16,504,2.9,11,1.06
Inconel,153.2,51.5,5.61,124,4.26,13,0.59
Carbon Steel,172.8,29.4,5.15,508,3.73,3,1.16
Carbon Steel,262.6,52.0,5.39,364,2.03,14,1.22
Inconel,256.0,52.4,5.21,218,3.32,12,0.83
SS316,141.5,25.2,5.51,392,1.99,14,0.69
Inconel,167.1,32.3,4.36,187,1.94,11,0.71
Inconel,161.3,26.4,5.6,240,2.4,14,0.58
Inconel,171.3,47.1,5.96,680,1.54,1,0.61
SS316,151.4,51.7,5.7,670,1.94,13,0.79
SS316,256.7,33.5,4.48,359,2.14,12,1.03
Carbon Steel,230.2,27.7,4.25,130,3.33,6,1.24
Alloy Steel,272.2,44.8,5.44,290,2.58,14,1.12
Carbon Steel,179.5,26.6,6.54,535,4.49,4,1.02
SS316,199.9,42.0,6.03,468,2.43,9,0.73
SS316,266.6,32.1,4.66,517,4.43,3,1.13
SS316,248.1,31.8,6.52,616,2.59,7,0.8
SS316,222.5,33.2,6.64,491,4.41,12,0.8
SS316,160.9,33.3,5.88,109,2.04,2,0.47
SS316,247.6,54.0,5.08,488,3.19,4,0.97
SS304,274.4,45.6,6.73,609,2.95,10,0.89
SS304,200.3,45.3,4.69,508,2.68,6,0.98
Inconel,240.1,45.4,6.78,477,3.9,14,0.71
SS304,251.5,52.1,5.96,274,4.11,2,0.82
Carbon Steel,237.8,51.6,4.8,523,2.68,14,1.36
Inconel,185.5,37.7,4.48,248,4.15,5,0.81
Alloy Steel,226.9,45.0,6.23,209,2.41,8,0.84
SS316,158.2,34.6,4.7,473,2.57,8,0.86
SS304,188.7,48.6,4.78,563,2.87,9,1.0
Carbon Steel,227.5,48.9,4.38,226,1.96,6,1.19
Alloy Steel,240.2,44.6,6.18,206,3.26,14,0.95
SS316,214.5,54.7,5.58,444,4.49,3,0.87
SS316,268.3,25.3,6.46,231,2.87,9,0.71
Alloy Steel,183.4,49.6,5.9,268,3.89,12,0.93
Alloy Steel,194.7,35.5,5.32,545,3.0,6,1.08
Alloy Steel,274.5,51.2,5.57,427,2.34,5,1.1
Carbon Steel,272.6,46.8,4.23,169,4.27,5,1.37
Inconel,145.4,25.8,4.42,362,2.21,8,0.73
Inconel,237.3,36.2,5.32,224,4.34,13,0.83
SS304,237.8,39.2,5.55,455,3.81,4,0.93
SS316,185.5,38.2,4.91,354,3.54,11,0.89
SS304,172.4,54.4,5.49,697,2.97,3,0.88
Inconel,211.0,26.2,6.55,591,3.68,13,0.73
Alloy Steel,170.9,38.8,5.05,690,1.73,4,1.07
SS316,193.6,39.8,4.24,149,2.27,12,0.86
Inconel,239.6,48.2,4.2,403,2.21,10,0.96
SS316,204.4,34.0,5.84,515,2.7,9,0.8
SS304,173.7,27.9,4.38,402,3.43,5,0.96
Inconel,172.0,33.2,4.3,206,3.45,8,0.79
SS304,271.1,35.7,5.24,547,1.9,13,1.05
SS316,275.5,32.1,6.0,275,3.07,7,0.8
Carbon Steel,240.7,25.6,6.73,232,3.49,5,0.93
Alloy Steel,271.6,53.7,6.49,253,2.55,3,0.87
SS304,151.1,31.3,5.01,169,2.87,5,0.7
SS316,174.6,44.2,4.4,443,3.96,6,0.97
Inconel,245.5,51.4,4.65,308,4.41,3,0.92
SS304,243.2,39.9,4.32,447,3.8,5,1.13
SS316,179.1,45.2,6.22,624,1.97,5,0.68
Carbon Steel,259.8,47.6,5.1,360,3.58,13,1.32
SS304,162.4,39.2,6.18,698,3.86,2,0.8
SS316,218.1,37.3,6.27,126,2.73,9,0.6
SS304,159.8,36.4,5.95,317,3.24,11,0.7
SS316,222.2,40.9,4.5,231,3.9,7,0.95
Alloy Steel,238.9,42.1,4.3,577,1.69,10,1.29
SS316,175.7,27.8,5.21,452,3.23,4,0.81
SS316,160.5,33.9,4.24,572,2.43,9,0.97
SS316,181.5,29.1,5.42,193,2.89,7,0.68
Inconel,152.5,42.3,5.89,410,2.05,7,0.53
SS316,261.7,45.1,4.46,498,3.33,7,1.12
Alloy Steel,149.6,37.5,4.61,252,4.18,3,1.01
Carbon Steel,272.8,30.8,6.54,184,3.02,10,1.01
Alloy Steel,245.1,54.5,4.22,480,3.72,12,1.38
Carbon Steel,259.3,37.4,6.02,509,3.53,6,1.19
Inconel,141.5,41.3,5.33,370,2.7,5,0.6
Inconel,143.2,40.0,6.22,288,3.6,10,0.5
Inconel,246.5,46.2,5.05,161,2.29,4,0.71
Carbon Steel,189.5,37.7,5.95,360,2.47,13,1.02
Alloy Steel,269.7,48.5,6.09,348,2.47,7,0.99
SS304,166.8,45.1,5.81,368,1.79,11,0.69
Inconel,248.8,38.6,6.43,444,3.36,1,0.66
Carbon Steel,210.4,33.7,4.99,577,2.85,7,1.27
Alloy Steel,166.3,53.0,5.79,635,2.83,13,1.03
Inconel,160.1,40.2,6.56,195,3.57,8,0.43
SS316,181.4,38.6,5.59,695,1.8,7,0.82
Alloy Steel,174.5,47.2,6.23,338,2.65,13,0.85
Carbon Steel,165.0,49.7,4.47,380,2.09,3,1.12
SS304,153.8,54.2,6.46,475,3.96,6,0.68
SS304,215.6,29.7,5.43,141,3.24,14,0.82
SS304,239.9,25.9,4.96,465,2.57,3,0.97
SS316,155.4,40.5,5.65,154,2.35,2,0.52
Alloy Steel,163.7,34.8,4.99,164,3.14,7,0.92
Inconel,228.8,35.8,5.94,442,4.04,8,0.77
Alloy Steel,234.6,45.9,6.1,490,1.78,1,0.92
SS304,183.9,39.6,5.76,660,2.22,4,0.82
SS316,261.5,54.9,6.23,467,1.74,2,0.73
SS304,155.3,51.5,6.04,244,4.16,13,0.7
Carbon Steel,246.4,32.2,5.98,276,1.53,6,0.99
Alloy Steel,273.8,54.8,5.68,204,1.99,1,0.94
SS316,253.3,35.6,6.54,572,1.72,2,0.72
SS304,182.4,31.6,5.94,648,2.54,9,0.84
SS316,276.6,53.1,5.31,534,3.99,7,1.06
Carbon Steel,226.1,27.5,4.5,421,3.03,13,1.35
Carbon Steel,209.5,44.9,5.49,499,1.7,5,1.09
Alloy Steel,198.6,37.0,5.71,290,3.63,13,0.99
SS316,255.2,33.2,6.78,289,4.14,9,0.72
SS304,191.4,50.8,5.85,229,2.51,2,0.64
SS304,167.6,53.8,4.84,248,4.33,12,0.9
Inconel,206.5,31.4,4.94,137,2.41,13,0.71
SS304,248.0,33.8,4.43,223,3.81,2,1.01
Alloy Steel,254.0,43.7,4.7,342,3.12,12,1.23
Carbon Steel,221.9,33.1,6.61,273,2.7,9,0.92
SS304,178.7,46.3,6.18,537,3.96,6,0.79
Inconel,158.6,36.5,6.68,143,2.73,10,0.36
Alloy Steel,196.2,49.6,4.53,503,1.51,10,1.14
Alloy Steel,257.8,33.3,4.76,648,3.79,6,1.35
Alloy Steel,173.9,40.7,4.68,268,3.05,4,1.01
Alloy Steel,198.8,51.5,5.92,172,3.73,3,0.85
Alloy Steel,278.8,40.8,4.95,574,1.98,2,1.22
Alloy Steel,259.7,31.2,6.21,104,1.89,11,0.85
Carbon Steel,157.5,33.3,4.78,327,3.79,9,1.15
Carbon Steel,271.9,54.9,5.98,443,3.63,5,1.19
Inconel,160.5,37.3,4.4,550,3.86,5,0.9
SS304,188.2,48.6,6.14,102,2.39,9,0.57
SS316,257.9,41.2,5.04,387,3.04,3,0.94
Carbon Steel,255.3,51.8,4.33,211,2.39,10,1.29
SS316,159.6,35.8,6.55,440,2.15,12,0.58
Inconel,229.1,31.9,5.25,622,1.59,13,0.88
SS304,160.3,41.4,4.36,628,1.93,10,1.0
Carbon Steel,189.5,29.0,4.61,520,4.11,1,1.28
Carbon Steel,210.7,42.8,6.18,464,3.35,11,1.09
SS304,203.6,27.8,4.93,479,2.16,2,0.89
SS304,197.7,50.1,5.53,538,1.56,14,0.87
SS316,250.6,31.7,4.89,156,3.1,11,0.9
SS316,203.6,38.8,5.94,252,3.76,7,0.7
SS304,174.2,27.9,6.46,157,1.54,7,0.47
Carbon Steel,190.3,28.7,4.76,618,4.07,13,1.38
Alloy Steel,235.4,31.3,6.27,387,3.11,5,0.94
Inconel,247.8,35.8,4.67,222,1.54,3,0.76
Inconel,152.8,34.6,5.83,636,4.02,9,0.74
SS316,158.8,30.8,6.72,429,2.05,13,0.55
SS304,239.0,53.1,4.73,523,1.7,14,1.06
Carbon Steel,265.0,51.1,5.69,233,2.71,6,1.1
Carbon Steel,195.3,32.4,4.3,291,3.88,9,1.28
SS316,238.4,50.5,5.52,388,2.52,1,0.79
SS316,272.2,36.8,6.04,141,4.29,6,0.78
Alloy Steel,271.1,43.7,6.53,200,3.38,7,0.91
Inconel,178.0,47.2,6.22,598,2.44,11,0.65
Inconel,269.1,38.1,6.05,375,2.48,13,0.76
Inconel,162.7,30.3,4.4,470,4.05,3,0.86
SS316,149.3,38.7,6.12,194,2.31,5,0.48
Alloy Steel,170.5,52.8,4.8,418,2.53,4,1.02
SS304,151.4,44.1,5.44,660,2.37,3,0.81
SS316,140.3,29.6,5.7,591,2.08,7,0.7
Alloy Steel,160.4,32.7,5.72,291,3.0,14,0.9
SS316,156.8,32.4,6.28,179,4.48,9,0.58
SS304,187.8,27.8,4.77,234,4.31,8,0.91
SS304,252.1,38.2,6.02,204,3.43,6,0.78
Alloy Steel,209.8,36.1,6.29,292,2.87,3,0.82
Carbon Steel,220.1,37.6,4.35,668,4.36,5,1.47
SS304,275.4,44.8,6.55,207,2.95,10,0.75
SS304,258.6,52.4,4.57,226,3.32,7,1.02
SS304,150.3,51.4,4.86,113,1.91,4,0.65
SS304,160.9,39.5,4.55,384,2.89,11,0.92
Carbon Steel,156.5,32.2,4.71,431,4.12,4,1.19
Inconel,224.3,52.1,4.84,436,3.13,4,0.86
Inconel,166.3,47.4,5.74,424,2.25,1,0.55
SS304,276.1,53.4,4.8,202,3.18,14,1.04
Carbon Steel,205.4,53.5,5.29,618,2.27,1,1.17
SS316,151.1,25.6,6.2,429,3.6,14,0.69
Carbon Steel,175.5,33.4,4.44,267,2.46,3,1.11
Alloy Steel,251.2,38.6,6.48,612,4.13,3,1.06
SS316,230.6,26.7,6.06,159,1.92,8,0.62
Inconel,216.7,27.9,5.65,140,1.54,9,0.56
Inconel,226.9,37.3,4.58,513,1.89,6,0.89
Carbon Steel,244.4,49.7,6.43,163,3.17,4,0.93
Inconel,236.6,47.2,5.53,681,4.37,8,0.96
Carbon Steel,254.9,41.3,5.53,132,3.22,12,1.13
Carbon Steel,249.2,48.6,4.62,315,2.2,13,1.29
Carbon Steel,203.2,54.1,5.87,192,2.31,3,0.91
Carbon Steel,153.4,51.8,4.23,100,3.98,9,1.14
Carbon Steel,231.8,41.7,6.39,209,4.04,5,0.98
Alloy Steel,219.4,32.1,4.24,112,3.34,6,1.11
Alloy Steel,257.9,28.6,5.46,329,3.04,5,1.07
Alloy Steel,151.3,48.0,5.72,151,4.05,5,0.81
Carbon Steel,269.0,52.5,6.59,146,1.86,14,0.95
Inconel,239.8,37.6,6.67,681,4.31,10,0.81
SS316,257.2,48.5,4.91,340,2.74,14,0.99
Alloy Steel,265.4,50.9,4.6,392,2.93,1,1.21
SS304,212.4,31.9,5.92,578,2.46,11,0.87
SS304,232.1,54.2,6.13,140,2.0,11,0.67
Carbon Steel,238.3,50.6,6.69,393,3.18,10,1.02
SS316,243.3,26.5,5.4,212,4.02,7,0.85
Alloy Steel,147.2,40.8,4.48,220,4.2,14,1.09
Carbon Steel,279.5,51.1,5.28,296,3.29,8,1.25
Inconel,185.6,26.9,5.89,682,3.98,9,0.81
SS316,195.2,36.5,4.47,589,3.81,2,1.02
Inconel,254.5,30.5,4.35,668,1.51,12,1.07
